Georgenia_Cluster_1	Georgenia_sp_Georgenia_soli_Georgenia_muralis_Georgenia_ferrireducens_Georgenia_daeguensis_Georgenia_ruanii
Psychrobacter_Cluster_3	Psychrobacter_piscidermidis_Psychrobacter_piscatorii_Psychrobacter_pacificensis_Psychrobacter_namhaensis_Psychrobacter_celer_Psychrobacter_aquimaris_Psychrobacter_alimentarius_Psychrobacter_muriicola
Mesorhizobium_Cluster_2	Mesorhizobium_waimense_Mesorhizobium_silamurunense_Mesorhizobium_septentrionale_Mesorhizobium_plurifarium_Mesorhizobium_amorphae_Mesorhizobium_acaciae_Mesorhizobium_opportunistum_Mesorhizobium_jarvisii_Mesorhizobium_huakuii_Mesorhizobium_genosp_Mesorhizobium_abyssinicae_Mesorhizobium_shonense
Jeotgalibacillus_Cluster_1	Jeotgalibacillus_marinus_Jeotgalibacillus_campisalis_Jeotgalibacillus_soli_Jeotgalibacillus_sp_Jeotgalibacillus_salarius_Jeotgalibacillus_malaysiensis_Jeotgalibacillus_alimentarius
Pseudogulbenkiania_Cluster_1	Pseudogulbenkiania_sp_Pseudogulbenkiania_ferrooxidans_Pseudogulbenkiania_gefcensis_Pseudogulbenkiania_subflava
Bacillus_Cluster_5	Bacillus_novalis_Bacillus_massiliglaciei_Bacillus_maritimus_Bacillus_gottheilii_Bacillus_cavernae_Bacillus_caccae
Lactobacillus_Cluster_1	Lactobacillus_senioris_Lactobacillus_diolivorans_Lactobacillus_curieae_Lactobacillus_hilgardii_Lactobacillus_faeni_Lactobacillus_farraginis
Ochrobactrum_Cluster_1	Ochrobactrum_tritici_Ochrobactrum_intermedium_Ochrobactrum_haematophilum_Ochrobactrum_anthropi_Ochrobactrum_daejeonense
Erythrobacter_Cluster_1	Erythrobacter_vulgaris_Erythrobacter_sp_Erythrobacter_longus_Erythrobacter_aquimaris_Erythrobacter_piscidermidis_Erythrobacter_nanhaisediminis_Erythrobacter_flavus_Erythrobacter_citreus
Microbulbifer_Cluster_2	Microbulbifer_salipaludis_Microbulbifer_mangrovi_Microbulbifer_cystodytense_Microbulbifer_pacificus_Microbulbifer_okinawensis_Microbulbifer_marinus_Microbulbifer_hydrolyticus_Microbulbifer_gwangyangensis_Microbulbifer_epialgicus
Paenibacillus_Cluster_1	Paenibacillus_pocheonensis_Paenibacillus_chondroitinus_Paenibacillus_alginolyticus_Paenibacillus_aceris
Halomonas_Cluster_5	Halomonas_stenophila_Halomonas_rifensis_Halomonas_lutea_Halomonas_cerina_Halomonas_aidingensis_Halomonas_nitroreducens
